iter	MAE
0	7.535929581
1	7.499185317
2	7.462296585
3	7.425894153
4	7.390131583
5	7.354818751
6	7.32010549
7	7.28550121
8	7.251502036
9	7.218195679
10	7.185306752
11	7.15290746
12	7.121243879
13	7.090191674
14	7.059438732
15	7.029341874
16	6.999659121
17	6.971001942
18	6.942799793
19	6.914995713
20	6.887656673
21	6.860981451
22	6.834692058
23	6.809424405
24	6.78402581
25	6.75916596
26	6.735354318
27	6.711612295
28	6.688267917
29	6.665690075
30	6.642952968
31	6.620401604
32	6.598289085
33	6.576632676
34	6.55561745
35	6.534451222
36	6.513851678
37	6.493412477
38	6.473302385
39	6.453684779
40	6.434548026
41	6.416346505
42	6.3981617
43	6.380553418
44	6.36325194
45	6.346195621
46	6.329644362
47	6.313745144
48	6.298133062
49	6.282921869
50	6.267619721
51	6.252740356
52	6.238303652
53	6.224297606
54	6.210519789
55	6.196729337
56	6.18346945
57	6.170382678
58	6.157329159
59	6.144746655
60	6.132695327
61	6.120726732
62	6.109026767
63	6.097498179
64	6.086392796
65	6.075715489
66	6.065012677
67	6.054468283
68	6.044022324
69	6.033711487
70	6.023659333
71	6.013856335
72	6.004536865
73	5.995209572
74	5.986217382
75	5.977401261
76	5.968646009
77	5.960077281
78	5.95170396
79	5.943525581
80	5.93535468
81	5.927410407
82	5.919821312
83	5.912407855
84	5.90516461
85	5.898190675
86	5.890977477
87	5.884106918
88	5.877245938
89	5.870568715
90	5.864129006
91	5.857661377
92	5.851665682
93	5.845658816
94	5.83993126
95	5.834578239
96	5.829409657
97	5.824307664
98	5.819286151
99	5.814314879
100	5.809260591
101	5.804385655
102	5.799780019
103	5.795235562
104	5.790708645
105	5.786305238
106	5.782040831
107	5.777860279
108	5.773853561
109	5.769786212
110	5.765790445
111	5.762141691
112	5.758367589
113	5.75472035
114	5.751265857
115	5.74784449
116	5.744465038
117	5.741615617
118	5.738456741
119	5.735565999
120	5.732524362
121	5.729602292
122	5.726673714
123	5.723752349
124	5.720874434
125	5.718214524
126	5.715692518
127	5.713142267
128	5.710454578
129	5.707817529
130	5.705111277
131	5.70269735
132	5.700120645
133	5.697812183
134	5.695685597
135	5.693313393
136	5.690936451
137	5.688650908
138	5.686559105
139	5.68446792
140	5.682494472
141	5.680405638
142	5.678479395
143	5.676654004
144	5.674909197
145	5.673268543
146	5.671336374
147	5.669640384
148	5.667956338
149	5.66635383
150	5.66474423
151	5.663255301
152	5.661925244
153	5.660394044
154	5.658983254
155	5.657603878
156	5.656299865
157	5.654942969
158	5.6537959
159	5.652668772
160	5.651393985
161	5.650189639
162	5.648882513
163	5.647736487
164	5.646457681
165	5.645417304
166	5.644399118
167	5.643232305
168	5.642022044
169	5.641109808
170	5.640114941
171	5.638916624
172	5.637847201
173	5.636779667
174	5.635906917
175	5.634728906
176	5.633596791
177	5.632750185
178	5.631804056
179	5.630723011
180	5.62956529
181	5.628738138
182	5.627718962
183	5.62681695
184	5.62590958
185	5.624832484
186	5.623918521
187	5.623133343
188	5.622341689
189	5.621638987
190	5.620870236
191	5.620289813
192	5.619607206
193	5.618758845
194	5.618000324
195	5.61725813
196	5.616576826
197	5.615683157
198	5.615069169
199	5.61452798
200	5.61399988
201	5.613272859
202	5.61246478
203	5.611959471
204	5.61128202
205	5.610493193
206	5.609993568
207	5.609360773
208	5.608903224
209	5.608379943
210	5.60776401
211	5.607204523
212	5.606719566
213	5.6062627
214	5.605761119
215	5.605194959
216	5.60470432
217	5.604296153
218	5.603740852
219	5.603251608
220	5.602576146
221	5.602116844
222	5.601644727
223	5.601196899
224	5.600789042
225	5.600262718
226	5.5997391
227	5.599318627
228	5.598878459
229	5.598343989
230	5.597901502
231	5.597450036
232	5.597050663
233	5.596642428
234	5.596120006
235	5.59569336
236	5.595174521
237	5.594672019
238	5.594231272
239	5.593787078
240	5.593369145
241	5.59305174
242	5.592611022
243	5.592267427
244	5.591867607
245	5.591484357
246	5.591100054
247	5.590748469
248	5.590349148
249	5.59000364
250	5.589688327
251	5.589321309
252	5.589044504
253	5.588626023
254	5.588292996
255	5.587909054
256	5.587525296
257	5.587143981
258	5.586833131
259	5.586532185
260	5.586167932
261	5.585873092
262	5.585484201
263	5.585171842
264	5.584836062
265	5.584524644
266	5.584169489
267	5.58376146
268	5.583487093
269	5.583088279
270	5.58282548
271	5.582510762
272	5.582215466
273	5.5819239
274	5.58171034
275	5.581389449
276	5.581111046
277	5.580712148
278	5.580376931
279	5.580010536
280	5.579712787
281	5.579428079
282	5.579068941
283	5.578746795
284	5.578485733
285	5.578216694
286	5.577711318
287	5.577435341
288	5.577259567
289	5.576958987
290	5.576631084
291	5.576342737
292	5.576098652
293	5.575774366
294	5.575501985
295	5.575276451
296	5.574957134
297	5.574705711
298	5.574429195
299	5.574177369
300	5.573871648
301	5.573480885
302	5.573277207
303	5.572976573
304	5.57275365
305	5.572496375
306	5.572166799
307	5.571973702
308	5.571795454
309	5.571585
310	5.571359024
311	5.571167613
312	5.570873132
313	5.570474021
314	5.570211163
315	5.56987272
316	5.569608634
317	5.569432583
318	5.569156799
319	5.568923028
320	5.568687713
321	5.56844352
322	5.56823303
323	5.568067219
324	5.567741656
325	5.567473825
326	5.56736556
327	5.567142017
328	5.566839694
329	5.566522199
330	5.566290454
331	5.566025696
332	5.565764406
333	5.565520248
334	5.565186925
335	5.564933361
336	5.564721899
337	5.564490562
338	5.564274291
339	5.564040808
340	5.563684907
341	5.563425278
342	5.563220885
343	5.56293055
344	5.56268456
345	5.562412542
346	5.562175605
347	5.561974194
348	5.561666004
349	5.561362804
350	5.560962817
351	5.560728194
352	5.560465004
353	5.560180568
354	5.559993827
355	5.559633517
356	5.559345118
357	5.559058744
358	5.558677842
359	5.558414327
360	5.558169225
361	5.557878224
362	5.557674493
363	5.557500206
364	5.557307401
365	5.557082397
366	5.556813618
367	5.556597679
368	5.556308142
369	5.556056956
370	5.555935778
371	5.555818511
372	5.555635992
373	5.555446862
374	5.555194892
375	5.554843465
376	5.5545502
377	5.55442562
378	5.554139332
379	5.553835296
380	5.553693736
381	5.553530366
382	5.553115519
383	5.552831738
384	5.552659158
385	5.552374724
386	5.552128474
387	5.551947395
388	5.551610883
389	5.551311622
390	5.551104145
391	5.55083799
392	5.55063837
393	5.55036748
394	5.550255113
395	5.550033169
396	5.549761517
397	5.549549915
398	5.549292939
399	5.549116527
400	5.548915005
401	5.548700499
402	5.548535455
403	5.548345907
404	5.548123102
405	5.547886479
406	5.547630493
407	5.547496366
408	5.547276434
409	5.547060917
410	5.546901082
411	5.546624439
412	5.54638862
413	5.546246014
414	5.546120418
415	5.545988793
416	5.545674286
417	5.545465282
418	5.545251311
419	5.545072813
420	5.544910303
421	5.544546848
422	5.544350133
423	5.544091516
424	5.543858993
425	5.543624353
426	5.54356225
427	5.54330338
428	5.543178409
429	5.543047012
430	5.542916633
431	5.542698737
432	5.54255292
433	5.542491285
434	5.542345765
435	5.542121689
436	5.542035035
437	5.541804524
438	5.541618257
439	5.541369101
440	5.541121113
441	5.540850815
442	5.540702582
443	5.54045011
444	5.540138617
445	5.53993593
446	5.539706864
447	5.539623179
448	5.539393719
449	5.539159026
450	5.538890228
451	5.538702783
452	5.538481834
453	5.538385052
454	5.538194928
455	5.538092103
456	5.538039556
457	5.537890626
458	5.537699512
459	5.537474767
460	5.537355684
461	5.53702754
462	5.5369069
463	5.53678105
464	5.536629525
465	5.536506503
466	5.536357919
467	5.536292583
468	5.536102339
469	5.535794768
470	5.535673563
471	5.535322766
472	5.535160708
473	5.534907372
474	5.534756
475	5.534462538
476	5.534345879
477	5.534105111
478	5.53392405
479	5.533658237
480	5.533455546
481	5.53332929
482	5.533030128
483	5.532801104
484	5.532683963
485	5.532396178
486	5.532270722
487	5.532109294
488	5.531879717
489	5.531767019
490	5.531493582
491	5.531216917
492	5.530934638
